Lat	Lon	Time	Date	Speed
55.5875083333	37.1002783333	15:52:52.000	29/07/16	4.22
55.5875083333	37.1002750000	15:52:52.200	29/07/16	3.91
55.5875100000	37.1002716667	15:52:52.400	29/07/16	3.98
55.5875100000	37.1002666667	15:52:52.600	29/07/16	4.28
55.5875100000	37.1002650000	15:52:52.800	29/07/16	3.85
55.5875116667	37.1002616667	15:52:53.000	29/07/16	4.28
55.5875116667	37.1002583333	15:52:53.200	29/07/16	4.00
55.5875133333	37.1002550000	15:52:53.400	29/07/16	3.89
55.5875133333	37.1002516667	15:52:53.600	29/07/16	4.22
55.5875133333	37.1002483333	15:52:53.800	29/07/16	3.78
55.5875150000	37.1002450000	15:52:54.000	29/07/16	3.80
55.5875150000	37.1002416667	15:52:54.200	29/07/16	4.20
55.5875166667	37.1002400000	15:52:54.400	29/07/16	3.74
55.5875166667	37.1002366667	15:52:54.600	29/07/16	3.85
55.5875166667	37.1002333333	15:52:54.800	29/07/16	4.06
55.5875183333	37.1002300000	15:52:55.000	29/07/16	3.76
55.5875183333	37.1002283333	15:52:55.200	29/07/16	3.93
55.5875200000	37.1002250000	15:52:55.400	29/07/16	3.96
55.5875200000	37.1002216667	15:52:55.600	29/07/16	3.56
55.5875200000	37.1002200000	15:52:55.800	29/07/16	4.00
55.5875216667	37.1002166667	15:52:56.000	29/07/16	3.96
55.5875216667	37.1002133333	15:52:56.200	29/07/16	3.78
55.5875216667	37.1002100000	15:52:56.400	29/07/16	3.80
55.5875233333	37.1002066667	15:52:56.600	29/07/16	3.83
55.5875233333	37.1002050000	15:52:56.800	29/07/16	3.93
55.5875250000	37.1002016667	15:52:57.000	29/07/16	4.54
55.5875250000	37.1001983333	15:52:57.200	29/07/16	3.96
55.5875250000	37.1001950000	15:52:57.400	29/07/16	4.26
0.0000000000	0.0000000000	00:00:0.000	00/00/00	0.00
55.5875266667	37.1001916667	15:52:57.600	29/07/16	4.33
55.5875266667	37.1001883333	15:52:57.800	29/07/16	3.78
55.5875283333	37.1001850000	15:52:58.000	29/07/16	4.37
55.5875283333	37.1001816667	15:52:58.200	29/07/16	4.26
55.5875283333	37.1001783333	15:52:58.400	29/07/16	3.87
55.5875300000	37.1001750000	15:52:58.600	29/07/16	4.28
55.5875300000	37.1001716667	15:52:58.800	29/07/16	4.11
55.5875316667	37.1001683333	15:52:59.000	29/07/16	3.96
55.5875316667	37.1001650000	15:52:59.200	29/07/16	4.50
55.5875316667	37.1001616667	15:52:59.400	29/07/16	3.76
55.5875333333	37.1001583333	15:52:59.600	29/07/16	3.80
55.5875333333	37.1001550000	15:52:59.800	29/07/16	4.09
55.5875350000	37.1001516667	15:53:0.000	29/07/16	3.85
55.5875350000	37.1001483333	15:53:0.200	29/07/16	4.09
55.5875350000	37.1001450000	15:53:0.400	29/07/16	4.32
55.5875366667	37.1001416667	15:53:0.600	29/07/16	3.94
55.5875366667	37.1001383333	15:53:0.800	29/07/16	4.37
55.5875383333	37.1001350000	15:53:1.000	29/07/16	4.15
55.5875383333	37.1001316667	15:53:1.200	29/07/16	4.00
55.5875383333	37.1001283333	15:53:1.400	29/07/16	4.39
55.5875400000	37.1001250000	15:53:1.600	29/07/16	4.04
55.5875400000	37.1001216667	15:53:1.800	29/07/16	4.15
55.5875416667	37.1001183333	15:53:2.000	29/07/16	4.33
55.5875416667	37.1001150000	15:53:2.200	29/07/16	4.07
55.5875416667	37.1001100000	15:53:2.400	29/07/16	4.39
55.5875433333	37.1001066667	15:53:2.600	29/07/16	4.30
55.5875433333	37.1001033333	15:53:2.800	29/07/16	3.93
55.5875450000	37.1001000000	15:53:3.000	29/07/16	4.04
55.5875450000	37.1000966667	15:53:3.200	29/07/16	3.98
55.5875450000	37.1000933333	15:53:3.400	29/07/16	3.89
55.5875466667	37.1000900000	15:53:3.600	29/07/16	4.26
55.5875466667	37.1000850000	15:53:3.800	29/07/16	4.24
55.5875466667	37.1000816667	15:53:4.000	29/07/16	3.70
55.5875483333	37.1000783333	15:53:4.200	29/07/16	4.02
55.5875483333	37.1000750000	15:53:4.400	29/07/16	4.07
55.5875500000	37.1000716667	15:53:4.600	29/07/16	3.67
55.5875500000	37.1000683333	15:53:4.800	29/07/16	3.96
55.5875500000	37.1000650000	15:53:5.000	29/07/16	3.83
55.5875500000	37.1000633333	15:53:5.200	29/07/16	3.57
55.5875516667	37.1000600000	15:53:5.400	29/07/16	3.93
55.5875516667	37.1000566667	15:53:5.600	29/07/16	3.74
55.5875516667	37.1000533333	15:53:5.800	29/07/16	3.74
55.5875533333	37.1000500000	15:53:6.000	29/07/16	3.89
55.5875533333	37.1000466667	15:53:6.200	29/07/16	3.46
55.5875533333	37.1000433333	15:53:6.400	29/07/16	3.50
55.5875533333	37.1000400000	15:53:6.600	29/07/16	3.41
55.5875533333	37.1000383333	15:53:6.800	29/07/16	3.02
55.5875533333	37.1000366667	15:53:7.000	29/07/16	2.54
55.5875516667	37.1000350000	15:53:7.200	29/07/16	2.78
55.5875500000	37.1000333333	15:53:7.400	29/07/16	2.91
55.5875483333	37.1000333333	15:53:7.600	29/07/16	2.83
55.5875483333	37.1000316667	15:53:7.800	29/07/16	3.28
55.5875466667	37.1000300000	15:53:8.000	29/07/16	3.57
55.5875450000	37.1000300000	15:53:8.200	29/07/16	3.02
55.5875433333	37.1000300000	15:53:8.400	29/07/16	3.48
55.5875416667	37.1000283333	15:53:8.600	29/07/16	3.61
55.5875400000	37.1000283333	15:53:8.800	29/07/16	3.17
55.5875383333	37.1000283333	15:53:9.000	29/07/16	3.82
55.5875366667	37.1000283333	15:53:9.200	29/07/16	3.30
55.5875350000	37.1000283333	15:53:9.400	29/07/16	3.13
55.5875333333	37.1000283333	15:53:9.600	29/07/16	3.07
55.5875316667	37.1000300000	15:53:9.800	29/07/16	3.04
55.5875300000	37.1000300000	15:53:10.000	29/07/16	2.50
55.5875283333	37.1000316667	15:53:10.200	29/07/16	3.65
55.5875283333	37.1000333333	15:53:10.400	29/07/16	3.46
55.5875266667	37.1000350000	15:53:10.600	29/07/16	2.76
55.5875266667	37.1000383333	15:53:10.800	29/07/16	3.28
55.5875250000	37.1000400000	15:53:11.000	29/07/16	3.74
55.5875250000	37.1000416667	15:53:11.200	29/07/16	3.37
55.5875233333	37.1000450000	15:53:11.400	29/07/16	3.96
55.5875233333	37.1000466667	15:53:11.600	29/07/16	3.61
55.5875216667	37.1000500000	15:53:11.800	29/07/16	3.61
55.5875216667	37.1000533333	15:53:12.000	29/07/16	3.72
55.5875216667	37.1000566667	15:53:12.200	29/07/16	3.83
55.5875200000	37.1000583333	15:53:12.400	29/07/16	3.67
55.5875200000	37.1000616667	15:53:12.600	29/07/16	3.74
55.5875200000	37.1000650000	15:53:12.800	29/07/16	4.28
55.5875200000	37.1000683333	15:53:13.000	29/07/16	3.91
55.5875200000	37.1000733333	15:53:13.200	29/07/16	4.57
55.5875183333	37.1000766667	15:53:13.400	29/07/16	4.09
55.5875183333	37.1000800000	15:53:13.600	29/07/16	3.52
55.5875183333	37.1000833333	15:53:13.800	29/07/16	3.98
55.5875166667	37.1000850000	15:53:14.000	29/07/16	3.78
55.5875166667	37.1000883333	15:53:14.200	29/07/16	3.67
55.5875166667	37.1000916667	15:53:14.400	29/07/16	4.22
55.5875150000	37.1000950000	15:53:14.600	29/07/16	3.91
55.5875150000	37.1000983333	15:53:14.800	29/07/16	4.19
55.5875133333	37.1001016667	15:53:15.000	29/07/16	4.26
55.5875133333	37.1001050000	15:53:15.200	29/07/16	3.98
55.5875133333	37.1001083333	15:53:15.400	29/07/16	4.43
55.5875133333	37.1001100000	15:53:15.600	29/07/16	4.26
55.5875133333	37.1001133333	15:53:15.800	29/07/16	4.15
55.5875116667	37.1001166667	15:53:16.000	29/07/16	4.30
55.5875116667	37.1001200000	15:53:16.200	29/07/16	4.37
55.5875116667	37.1001233333	15:53:16.400	29/07/16	4.44
55.5875116667	37.1001266667	15:53:16.600	29/07/16	4.52
55.5875116667	37.1001300000	15:53:16.800	29/07/16	4.20
55.5875100000	37.1001333333	15:53:17.000	29/07/16	4.24
55.5875100000	37.1001366667	15:53:17.200	29/07/16	4.39
55.5875100000	37.1001400000	15:53:17.400	29/07/16	4.19
55.5875100000	37.1001433333	15:53:17.600	29/07/16	4.15
55.5875083333	37.1001466667	15:53:17.800	29/07/16	4.67
55.5875083333	37.1001500000	15:53:18.000	29/07/16	3.98
55.5875083333	37.1001550000	15:53:18.200	29/07/16	4.41
55.5875066667	37.1001566667	15:53:18.400	29/07/16	4.22
55.5875050000	37.1001583333	15:53:18.600	29/07/16	4.17
55.5875033333	37.1001616667	15:53:18.800	29/07/16	4.26
55.5875050000	37.1001666667	15:53:19.000	29/07/16	4.63
55.5875033333	37.1001683333	15:53:19.200	29/07/16	4.22
55.5875033333	37.1001716667	15:53:19.400	29/07/16	4.72
55.5875016667	37.1001750000	15:53:19.600	29/07/16	4.35
55.5875000000	37.1001766667	15:53:19.800	29/07/16	4.70
55.5875000000	37.1001800000	15:53:20.000	29/07/16	4.39
55.5875000000	37.1001833333	15:53:20.200	29/07/16	4.37
55.5875000000	37.1001866667	15:53:20.400	29/07/16	4.87
0.0000000000	0.0000000000	00:00:0.000	00/00/00	0.00
55.5874983333	37.1001883333	15:53:20.600	29/07/16	4.30
55.5874966667	37.1001900000	15:53:20.800	29/07/16	4.54
55.5874966667	37.1001933333	15:53:21.000	29/07/16	4.69
55.5874950000	37.1001966667	15:53:21.200	29/07/16	4.19
55.5874950000	37.1002000000	15:53:21.400	29/07/16	4.44
55.5874950000	37.1002033333	15:53:21.600	29/07/16	4.17
55.5874966667	37.1002050000	15:53:21.800	29/07/16	4.32
55.5874966667	37.1002100000	15:53:22.000	29/07/16	4.46
55.5874966667	37.1002133333	15:53:22.200	29/07/16	4.30
55.5874966667	37.1002183333	15:53:22.400	29/07/16	4.04
55.5874966667	37.1002216667	15:53:22.600	29/07/16	4.43
55.5874966667	37.1002266667	15:53:22.800	29/07/16	4.04
55.5874966667	37.1002300000	15:53:23.000	29/07/16	4.17
55.5874966667	37.1002333333	15:53:23.200	29/07/16	4.48
55.5874950000	37.1002383333	15:53:23.400	29/07/16	4.04
55.5874950000	37.1002400000	15:53:23.600	29/07/16	4.13
55.5874933333	37.1002433333	15:53:23.800	29/07/16	4.24
55.5874900000	37.1002450000	15:53:24.000	29/07/16	4.28
55.5874883333	37.1002483333	15:53:24.200	29/07/16	4.37
55.5874866667	37.1002516667	15:53:24.400	29/07/16	4.30
55.5874866667	37.1002550000	15:53:24.600	29/07/16	4.02
55.5874850000	37.1002566667	15:53:24.800	29/07/16	4.13
55.5874816667	37.1002600000	15:53:25.000	29/07/16	3.93
55.5874800000	37.1002633333	15:53:25.200	29/07/16	4.07
55.5874800000	37.1002666667	15:53:25.400	29/07/16	4.37
55.5874783333	37.1002700000	15:53:25.600	29/07/16	3.85
55.5874766667	37.1002733333	15:53:25.800	29/07/16	3.85
55.5874733333	37.1002733333	15:53:26.000	29/07/16	3.87
55.5874700000	37.1002766667	15:53:26.200	29/07/16	3.82
55.5874683333	37.1002783333	15:53:26.400	29/07/16	4.06
55.5874666667	37.1002816667	15:53:26.600	29/07/16	4.13
55.5874650000	37.1002850000	15:53:26.800	29/07/16	3.54
55.5874633333	37.1002866667	15:53:27.000	29/07/16	3.72
55.5874616667	37.1002900000	15:53:27.200	29/07/16	3.80
55.5874600000	37.1002916667	15:53:27.400	29/07/16	3.65
55.5874600000	37.1002950000	15:53:27.600	29/07/16	3.89
55.5874583333	37.1002983333	15:53:27.800	29/07/16	3.94
55.5874583333	37.1003016667	15:53:28.000	29/07/16	3.56
55.5874566667	37.1003050000	15:53:28.200	29/07/16	3.98
55.5874566667	37.1003083333	15:53:28.400	29/07/16	4.19
55.5874550000	37.1003133333	15:53:28.600	29/07/16	3.96
55.5874550000	37.1003166667	15:53:28.800	29/07/16	4.22
55.5874533333	37.1003200000	15:53:29.000	29/07/16	3.85
55.5874533333	37.1003233333	15:53:29.200	29/07/16	3.70
55.5874533333	37.1003283333	15:53:29.400	29/07/16	4.04
55.5874516667	37.1003316667	15:53:29.600	29/07/16	4.04
55.5874516667	37.1003350000	15:53:29.800	29/07/16	4.07
55.5874516667	37.1003383333	15:53:30.000	29/07/16	4.13
55.5874500000	37.1003433333	15:53:30.200	29/07/16	3.96
